"work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","log_salary","job_category","exp_level_ord","company_size_ord","location_group","residence_group","job_cat_Data_Engineer","job_cat_Data_Scientist","job_cat_Management_Lead","job_cat_ML_AI_Engineer","job_cat_Other","job_cat_Research","empl_CT","empl_FL","empl_PT","loc_CA","loc_DE","loc_ES","loc_FR","loc_GB","loc_IN","loc_US","res_CA","res_DE","res_ES","res_FR","res_GB","res_IN","res_US","is_local","salary_in_usd_scaled","log_salary_scaled","remote_ratio_scaled","exp_level_ord_scaled","company_size_ord_scaled"
2020,"MI","FT","Data Scientist",70000,"EUR",79833,"DE",0,"DE","L",11.2876922317909,"Data_Scientist",2,3,"DE","DE",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.425803045267021,-0.105115735112136,-1.70929989487233,-0.459110077996058,1.19928162061945
2020,"SE","FT","Machine Learning Scientist",260000,"USD",260000,"JP",0,"JP","S",12.4684369099977,"ML_AI_Engineer",3,1,"Other","Other",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.06679861798338,1.38890895344803,-1.70929989487233,0.79401646339415,-1.78571448356553
2020,"SE","FT","Big Data Engineer",85000,"GBP",109024,"GB",50,"GB","M",11.5993233204607,"Data_Engineer",3,2,"GB","GB",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,-0.0219469831027931,0.289198589389086,-0.486825919425663,0.79401646339415,-0.293216431473038
2020,"MI","FT","Product Data Analyst",20000,"USD",20000,"HN",0,"HN","S",9.90348755253613,"Data_Analyst",2,1,"Other","Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.25358968387043,-1.85658326488162,-1.70929989487233,-0.459110077996058,-1.78571448356553
2020,"SE","FT","Machine Learning Engineer",150000,"USD",150000,"US",50,"US","L",11.9183905730784,"ML_AI_Engineer",3,3,"US","US",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.544953979633715,0.692922071290266,-0.486825919425663,0.79401646339415,1.19928162061945
2020,"EN","FT","Data Analyst",72000,"USD",72000,"US",100,"US","L",11.1844213979982,"Data_Analyst",1,3,"US","US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,-0.534172218468775,-0.235786809174381,0.735648056021002,-1.71223661938627,1.19928162061945
2020,"SE","FT","Lead Data Scientist",190000,"USD",190000,"US",100,"US","S",12.1547793511426,"Management_Lead",3,1,"US","US",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1.09835202994268,0.992030487398408,0.735648056021002,0.79401646339415,-1.78571448356553
2020,"MI","FT","Data Scientist",11000000,"HUF",35735,"HU",50,"HU","L",10.4838858796541,"Data_Scientist",2,3,"Other","Other",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.03589672583014,-1.12219127826669,-0.486825919425663,-0.459110077996058,1.19928162061945
2020,"MI","FT","Business Data Analyst",135000,"USD",135000,"US",100,"US","L",11.8130300574206,"Data_Analyst",2,3,"US","US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.337429710767851,0.559606872418236,0.735648056021002,-0.459110077996058,1.19928162061945
2020,"SE","FT","Lead Data Engineer",125000,"USD",125000,"NZ",50,"NZ","S",11.7360690162844,"Management_Lead",3,1,"Other","Other",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.199080198190609,0.46222621287607,-0.486825919425663,0.79401646339415,-1.78571448356553
2020,"EN","FT","Data Scientist",45000,"EUR",51321,"FR",0,"FR","S",10.8458553041204,"Data_Scientist",1,1,"FR","FR",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,-0.820265175527254,-0.664182644700001,-1.70929989487233,-1.71223661938627,-1.78571448356553
2020,"MI","FT","Data Scientist",3000000,"INR",40481,"IN",0,"IN","L",10.6085880072135,"Data_Scientist",2,3,"IN","IN",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,-0.970236047160984,-0.964402671865549,-1.70929989487233,-0.459110077996058,1.19928162061945
